real_price,theme_cat,theme_lic
29.99,Junior,TRUE
69.99,Junior,TRUE
54.09,Junior,FALSE
38.04,Junior,FALSE
69.41,Junior,FALSE
13.98,Junior,FALSE
5.26,Junior,FALSE
14.99,Junior,FALSE
19.99,Junior,FALSE
148.81,Junior,FALSE
24.99,Junior,FALSE
25.9,Junior,FALSE
8.39,Junior,FALSE
12.99,Junior,FALSE
51.77,Junior,FALSE
41.6,Junior,FALSE
64.13,Junior,FALSE
59.63,Junior,FALSE
57.77,Junior,FALSE
14.99,Junior,FALSE
40.58,Junior,FALSE
67.4,Junior,FALSE
26.31,Junior,FALSE
23.11,Junior,FALSE
14.99,Junior,FALSE
29.99,Junior,FALSE
24.99,Junior,FALSE
29.99,Junior,FALSE
25.36,Junior,FALSE
19.99,Junior,FALSE
44.99,Junior,FALSE
14.99,Junior,FALSE
24.99,Junior,FALSE
15.21,Junior,FALSE
59.99,Junior,FALSE
8.04,Junior,FALSE
9.47,Junior,FALSE
20.29,Junior,FALSE
3.06,Junior,FALSE
29.81,Junior,FALSE
49.99,Junior,FALSE
148.47,Junior,FALSE
107.34,Junior,FALSE
109.99,Junior,FALSE
129.83,Junior,FALSE
135.28,Junior,FALSE
14.51,Junior,FALSE
12.33,Junior,FALSE
9.99,Junior,FALSE
25.83,Junior,FALSE
41.51,Junior,FALSE
14.06,Junior,FALSE
27.04,Junior,FALSE
54.09,Junior,FALSE
101.6,Junior,FALSE
13.98,Junior,FALSE
58.06,Junior,FALSE
29.03,Junior,FALSE
41.95,Junior,FALSE
39.99,Junior,FALSE
38.85,Junior,FALSE
37,Junior,FALSE
18.5,Junior,FALSE
62.13,Junior,FALSE
80.88,Junior,FALSE
106.16,Junior,FALSE
113.61,Junior,FALSE
56.89,Junior,FALSE
34.84,Junior,FALSE
24.66,Junior,FALSE
37,Junior,FALSE
12.33,Junior,FALSE
34.67,Junior,FALSE
37,Junior,FALSE
25.33,Junior,FALSE
12.95,Junior,FALSE
9.99,Junior,FALSE
12.7,Junior,FALSE
12.66,Junior,FALSE
21.36,Junior,FALSE
29.06,Junior,FALSE
11.93,Junior,FALSE
16.84,Junior,FALSE
11.43,Junior,FALSE
11.56,Junior,FALSE
23.68,Junior,FALSE
32.04,Junior,FALSE
32.56,Junior,FALSE
56.17,Junior,FALSE
53.41,Junior,FALSE
11.93,Junior,FALSE
43.42,Junior,FALSE
33.69,Junior,FALSE
32.04,Junior,FALSE
97.73,Junior,FALSE
27.06,Junior,FALSE
24.66,Junior,FALSE
28.89,Junior,FALSE
14.99,Junior,FALSE
93.73,Junior,FALSE
99.89,Junior,FALSE
93.73,Junior,FALSE
339.95,Junior,FALSE
99.95,Junior,FALSE
63.84,Junior,FALSE
68.79,Junior,FALSE
137.03,Junior,FALSE
39.99,Junior,TRUE
25.88,Junior,FALSE
12.95,Junior,TRUE
29.03,Junior,FALSE
51.77,Junior,FALSE
64.75,Junior,FALSE
39.19,Junior,FALSE
26.13,Junior,FALSE
76,Junior,FALSE
37.46,Junior,FALSE
41.7,Junior,FALSE
56.17,Junior,FALSE
9.99,Junior,FALSE
25.98,Junior,FALSE
23.76,Junior,FALSE
10.67,Junior,FALSE
12.81,Junior,FALSE
19.3,Junior,FALSE
19.99,Junior,FALSE
8.86,Junior,FALSE
54.28,Junior,FALSE
12.33,Junior,FALSE
49.33,Junior,FALSE
69.92,Junior,FALSE
29.99,Junior,FALSE
46.04,Junior,FALSE
12.23,Junior,FALSE
9.73,Junior,FALSE
10.14,Junior,FALSE
5.26,Junior,FALSE
19.99,Junior,FALSE
31.79,Junior,FALSE
28.66,Junior,FALSE
50.65,Junior,FALSE
18.48,Junior,FALSE
23.31,Junior,FALSE
13.15,Junior,FALSE
50.65,Junior,FALSE
35.78,Junior,FALSE
75.67,Junior,FALSE
64.91,Junior,FALSE
113.66,Junior,FALSE
16.03,Junior,FALSE
33.69,Junior,FALSE
74.72,Junior,FALSE
55.89,Junior,FALSE
20.97,Junior,FALSE
16.01,Junior,FALSE
24.99,Junior,FALSE
32.04,Junior,FALSE
13.15,Junior,FALSE
19.73,Junior,FALSE
9.87,Junior,FALSE
14.51,Junior,FALSE
33.63,Junior,FALSE
29.69,Junior,FALSE
25.22,Junior,FALSE
30.57,Junior,FALSE
33.38,Junior,FALSE
50.44,Junior,FALSE
30.57,Junior,FALSE
6.11,Junior,FALSE
12.23,Junior,FALSE
14.85,Junior,FALSE
23.01,Junior,FALSE
21.77,Junior,FALSE
38.21,Junior,FALSE
58.09,Junior,FALSE
13.15,Junior,FALSE
57.77,Junior,FALSE
13.88,Junior,FALSE
26.31,Junior,FALSE
30.43,Junior,FALSE
32.56,Junior,FALSE
32.45,Junior,FALSE
18.48,Junior,FALSE
12.66,Junior,FALSE
12.66,Junior,FALSE
12.66,Junior,FALSE
31.01,Junior,FALSE
15.49,Junior,FALSE
18.45,Junior,FALSE
19.99,Junior,FALSE
31.01,Junior,FALSE
30.43,Junior,FALSE
59.99,Junior,FALSE
80.88,Junior,FALSE
19.87,Junior,FALSE
30.57,Junior,FALSE
13.15,Junior,FALSE
22.46,Junior,FALSE
12.95,Junior,TRUE
19.43,Junior,TRUE
22.66,Junior,FALSE
78.6,Junior,FALSE
44.93,Junior,FALSE
4.43,Junior,FALSE
13.18,Junior,FALSE
13.15,Junior,FALSE
14.29,Junior,FALSE
17.89,Junior,FALSE
12.66,Junior,FALSE
17.59,Junior,FALSE
5.81,Junior,FALSE
75.48,Junior,FALSE
11.56,Junior,FALSE
28.08,Junior,FALSE
72.31,Junior,FALSE
19,Junior,FALSE
20.29,Junior,FALSE
38.21,Junior,FALSE
23.86,Junior,FALSE
23.1,Junior,FALSE
12.33,Junior,FALSE
29.99,Junior,FALSE
44.93,Junior,FALSE
42.72,Junior,FALSE
76.34,Junior,FALSE
14.99,Junior,FALSE
50.02,Junior,FALSE
138.12,Junior,FALSE
32.38,Junior,FALSE
129.51,Junior,FALSE
64.75,Junior,FALSE
32.38,Junior,FALSE
16.84,Junior,FALSE
39.99,Junior,FALSE
14.99,Junior,FALSE
23.86,Junior,FALSE
32.56,Junior,FALSE
19.99,Junior,TRUE
12.95,Junior,TRUE
16.01,Junior,FALSE
117.77,Junior,FALSE
28.58,Junior,FALSE
29.03,Junior,FALSE
77.7,Junior,TRUE
23.58,Junior,FALSE
31.88,Junior,FALSE
12.33,Junior,FALSE
9.99,Junior,FALSE
49.99,Junior,FALSE
61.66,Junior,FALSE
19.43,Junior,FALSE
13.98,Junior,FALSE
29.03,Junior,FALSE
24.66,Junior,FALSE
25.9,Junior,FALSE
48.68,Junior,FALSE
106.78,Junior,FALSE
286.28,Junior,FALSE
13.18,Junior,FALSE
95.43,Junior,FALSE
70.38,Junior,FALSE
9.53,Junior,FALSE
16.12,Junior,FALSE
125.62,Junior,FALSE
11.56,Junior,FALSE
19.73,Junior,FALSE
16.01,Junior,FALSE
27.97,Junior,FALSE
14.29,Junior,FALSE
14.29,Junior,FALSE
28.58,Junior,FALSE
28.58,Junior,FALSE
21.44,Junior,FALSE
24.66,Junior,FALSE
13.38,Junior,FALSE
9.87,Junior,FALSE
43.42,Junior,FALSE
